family,scope,model,split,node_accuracy,node_accuracy_sd,node_macro_f1,node_macro_f1_sd,node_balanced_accuracy,tier3_accuracy,tier3_accuracy_sd,tier3_macro_f1,tier3_macro_f1_sd,tier3_balanced_accuracy,delta_node_vs_m2_direct,delta_tier3_vs_m2_direct,n_runs,aggregation
j_pilot_existing_backbone,normal_only,m0,all,0.751951951951952,0.010245478744283474,0.7594675057735504,0.003574406647053204,,0.8678678678678678,0.002080541510593225,0.8234282322103392,0.004627302410571837,0.8315209850849811,,,3,historical J-only feasibility pilot; mean over seeds 1/2/3; existing Tier-3 backbone; not strict four-fold evidence
j_pilot_existing_backbone,normal_only,m0,fault,0.6765873015873016,0.009092412093166377,0.6311828373057107,0.0043060432513914665,,0.7896825396825397,0.0034366087451763315,0.6874897195755061,0.0020667824727087715,0.7132183908045977,,,3,historical J-only feasibility pilot; mean over seeds 1/2/3; existing Tier-3 backbone; not strict four-fold evidence
j_pilot_existing_backbone,normal_only,m0,normal,0.7846683893195521,0.011651808146829206,0.8058416913796906,0.006476181716901572,,0.9018087855297158,0.0025839793281653423,0.8739119876021751,0.005933519856983107,0.8814644137224782,,,3,historical J-only feasibility pilot; mean over seeds 1/2/3; existing Tier-3 backbone; not strict four-fold evidence
j_pilot_existing_backbone,normal_only,m1,all,0.7489489489489489,0.027106988820172404,0.7379860237244257,0.014528339894294067,,0.8276276276276276,0.01984710107130126,0.7672452111635272,0.010873222763589674,0.7819925063722794,,,3,historical J-only feasibility pilot; mean over seeds 1/2/3; existing Tier-3 backbone; not strict four-fold evidence
j_pilot_existing_backbone,normal_only,m1,fault,0.5992063492063492,0.033846670851650745,0.5118824408564825,0.02638715329774174,,0.7281746031746031,0.03054524666337431,0.5504821474219854,0.026914604076193758,0.6100255427841635,,,3,historical J-only feasibility pilot; mean over seeds 1/2/3; existing Tier-3 backbone; not strict four-fold evidence
j_pilot_existing_backbone,normal_only,m1,normal,0.813953488372093,0.024649591767879713,0.8038180778810914,0.013658320865270359,,0.8708010335917312,0.015717732636429477,0.8255339482112763,0.011362965820868789,0.8415258576548899,,,3,historical J-only feasibility pilot; mean over seeds 1/2/3; existing Tier-3 backbone; not strict four-fold evidence
j_pilot_existing_backbone,normal_only,m2,all,0.8876876876876877,0.005504595429376377,0.8629373512957965,0.011111996171713826,,0.8942942942942943,0.005791982439034812,0.8628993395439222,0.009874231342613459,0.8643398080702972,,,3,historical J-only feasibility pilot; mean over seeds 1/2/3; existing Tier-3 backbone; not strict four-fold evidence
j_pilot_existing_backbone,normal_only,m2,fault,0.7837301587301587,0.018184824186332695,0.7002672495399691,0.039850071291815926,,0.8055555555555556,0.009092412093166318,0.6993145814630902,0.04455198617474797,0.7319284802043422,,,3,historical J-only feasibility pilot; mean over seeds 1/2/3; existing Tier-3 backbone; not strict four-fold evidence
j_pilot_existing_backbone,normal_only,m2,normal,0.9328165374677002,0.013673133390514677,0.9182107692790737,0.02099223020634649,,0.9328165374677002,0.011841280865518987,0.9165231135561878,0.01952474265559177,0.9155145929339478,,,3,historical J-only feasibility pilot; mean over seeds 1/2/3; existing Tier-3 backbone; not strict four-fold evidence
j_pilot_existing_backbone,normal_only,m3,all,0.8996996996996998,0.002752297714688164,0.8768720969722644,0.009775629466453651,,0.9027027027027027,0.0018018018018017834,0.8749738480085675,0.011352808354628756,0.8728841484564689,,,3,historical J-only feasibility pilot; mean over seeds 1/2/3; existing Tier-3 backbone; not strict four-fold evidence
