model,participant,seed,sample_name,condition,stage,history_length,eligible_reorder,graph_permutation_changed,variant,true_node_idx,true_tier3_id,pred_node_idx,pred_tier3_id,node_correct,tier3_correct,node_confidence,true_node_probability,attention_history_mass,node_js_vs_actual,node_total_variation_vs_actual,top1_changed_vs_actual,tier3_top1_changed_vs_actual,abs_true_node_probability_change
M2-Direct-RealOrder,A,1,sample_000001,normal,1,0,False,False,actual,3,28,3,28,True,True,0.9997256398200989,0.9997256398200989,0.0,0.0,0.0,False,False,0.0
M2-Direct-RealOrder,A,1,sample_000001,normal,1,0,False,False,graph_valid_truepos_control,3,28,3,28,True,True,0.9997256398200989,0.9997256398200989,0.0,0.0,0.0,False,False,0.0
M2-Direct-RealOrder,A,1,sample_000001,normal,1,0,False,False,graph_valid_native,3,28,3,28,True,True,0.9997256398200989,0.9997256398200989,0.0,0.0,0.0,False,False,0.0
M2-Direct-RealOrder,A,1,sample_000001,normal,1,0,False,False,random_presented,3,28,3,28,True,True,0.9997256398200989,0.9997256398200989,0.0,0.0,0.0,False,False,0.0
M2-Direct-RealOrder,A,1,sample_000001,normal,1,0,False,False,reverse_presented,3,28,3,28,True,True,0.9997256398200989,0.9997256398200989,0.0,0.0,0.0,False,False,0.0
M2-Direct-RealOrder,A,1,sample_000001,normal,1,0,False,False,no_history,3,28,3,28,True,True,0.9997256398200989,0.9997256398200989,0.0,1.6263032587282567e-19,8.952838470577262e-13,False,False,0.0
M2-Direct-RealOrder,A,1,sample_000002,normal,1,1,False,False,actual,7,29,7,29,True,True,0.9998631477355957,0.9998631477355957,4.172325134277344e-07,0.0,0.0,False,False,0.0
M2-Direct-RealOrder,A,1,sample_000002,normal,1,1,False,False,graph_valid_truepos_control,7,29,7,29,True,True,0.9998631477355957,0.9998631477355957,4.172325134277344e-07,0.0,0.0,False,False,0.0
M2-Direct-RealOrder,A,1,sample_000002,normal,1,1,False,False,graph_valid_native,7,29,7,29,True,True,0.9998631477355957,0.9998631477355957,4.172325134277344e-07,0.0,0.0,False,False,0.0
M2-Direct-RealOrder,A,1,sample_000002,normal,1,1,False,False,random_presented,7,29,7,29,True,True,0.9998631477355957,0.9998631477355957,4.172325134277344e-07,0.0,0.0,False,False,0.0
